AfgKode;Agriculture
0;0
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;1
9;1
10;1
11;1
13;1
14;1
15;1
16;1
17;1
21;1
22;1
23;1
24;1
25;1
30;1
31;1
32;1
35;1
36;1
40;1
41;1
42;1
50;1
51;1
52;1
53;1
54;1
55;1
56;1
57;1
58;1
101;1
102;1
103;1
104;1
105;1
106;1
107;1
108;1
109;1
110;1
111;1
112;1
113;1
114;1
115;1
116;1
117;1
118;1
120;1
121;1
122;1
123;1
124;1
125;1
126;1
149;1
150;1
151;1
152;1
153;1
160;1
161;1
162;1
170;1
171;1
172;1
173;1
174;1
180;1
181;1
182;1
210;1
211;1
212;1
213;1
214;1
215;1
216;1
220;1
221;1
222;1
223;1
224;1
230;1
234;1
235;1
247;1
248;1
249;1
250;1
251;1
252;1
253;1
254;1
255;1
256;1
257;1
258;1
259;1
260;1
261;1
262;1
263;1
264;1
265;1
266;1
267;1
268;1
269;1
270;1
271;0
272;1
273;1
274;1
275;1
276;1
277;1
278;1
279;1
280;1
281;1
282;1
283;1
284;1
285;1
286;1
287;1
305;1
306;1
308;1
309;0
310;1
311;-1
312;1
313;-1
314;-1
315;1
316;0
317;1
318;0
319;0
320;1
321;0
322;0
323;1
324;1
325;1
326;0
327;1
328;1
329;1
334;1
335;1
336;1
337;1
338;1
339;1
340;1
341;1
342;1
343;1
350;1
360;1
361;1
400;1
401;1
402;1
403;1
404;1
405;1
406;1
407;1
408;1
409;1
410;1
411;1
412;1
413;1
415;1
416;1
417;1
418;1
420;1
421;1
422;1
423;1
424;1
429;1
430;1
431;1
432;1
433;1
434;1
440;1
448;1
449;1
450;1
486;1
487;1
488;1
489;1
491;1
493;1
494;1
496;1
497;1
498;1
499;0
500;1
501;1
502;1
503;1
504;1
505;1
506;1
507;1
508;1
509;1
510;1
511;1
512;1
513;1
514;1
515;1
516;1
517;1
518;1
519;1
520;1
521;1
522;1
523;1
524;1
525;1
526;1
527;1
528;1
529;1
530;1
531;1
532;1
533;1
534;1
536;1
537;1
538;1
539;1
540;1
541;1
542;0
543;0
544;1
545;1
547;1
548;1
549;0
550;0
551;1
552;1
553;1
560;0
561;0
562;0
563;1
564;0
570;1
576;-1
577;-1
578;-1
579;1
580;-1
581;-1
582;1
583;1
584;-1
585;-1
586;-1
587;-1
588;-1
589;-1
590;-1
591;-1
592;1
593;1
594;1
596;1
597;1
598;1
602;1
603;1
604;1
605;0
606;1
650;1
651;1
652;1
653;1
654;1
655;1
656;1
657;1
658;1
659;1
660;1
661;1
662;1
663;1
664;1
665;1
666;1
667;1
668;1
669;1
701;1
702;1
703;1
704;1
705;1
706;1
707;1
708;1
709;1
710;1
711;1
777;1
900;1
901;0
902;0
903;0
904;0
905;0
906;0
907;0
908;0
910;1
920;1
921;1
995;0
997;1
998;1
