"";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"152";1500;1500;1500;1500;1500;1500;1500;1500;1500
"400";1360;1078;506;372;617;749;770;565;500
"401";1167;1376;1390;1500;1500;1500;1500;1500;1500
"403";1500;1500;1500;1500;1500;1500;1500;1500;1500
"404";1500;1500;1500;1500;1500;1500;1500;1500;1500
"406";418;475;449;668;1034;841;1193;1399;1500
"407";1500;1500;1500;1500;1500;1500;1500;1500;1500
"408";1500;1500;1500;1500;1500;1500;1500;1500;1500
"410";1484;982;1283;1105;1313;1015;1175;1069;1072
"411";1500;1500;1500;1500;1500;1500;1500;1500;1500
"412";1500;1500;1500;1500;1500;1500;1500;1500;1427
"413";1096;1265;1366;1320;1500;1232;1104;1305;1023
"415";1500;1500;1500;1500;1500;1500;1500;1500;1500
"417";1500;1500;1500;1500;1500;1500;1500;1500;1500
"418";1500;1461;1500;1500;1500;1500;1500;1500;1500
"420";1500;1500;1500;1500;1500;1500;1500;1500;1500
"421";776;1263;1280;1500;1500;1500;1500;1500;1500
"422";1500;1500;1500;1500;1500;1500;1480;1500;1500
"423";1500;1500;1500;1500;1500;1500;1500;1500;1500
"424";1500;1500;1500;1500;1500;1500;1500;1500;1500
"429";1268;1164;1500;1500;1500;1500;1444;1342;1199
"430";268;336;260;195;463;383;322;352;68
"511";1001;1155;1500;1500;1500;1500;1500;1500;1500
"512";281;299;366;378;715;703;765;778;830
"513";1500;1500;1500;1500;1500;1500;1500;1500;1500
"514";1500;1500;1500;1500;1500;1500;1500;1500;1500
"515";1500;1500;1500;1500;1500;1500;1500;1500;1500
"516";290;352;360;351;378;409;501;432;577
"518";323;342;328;299;297;318;333;345;358
"519";501;555;684;748;731;745;828;842;1090
"520";1500;1500;1500;1500;1500;1500;1500;1500;1500
"522";668;725;780;683;722;718;759;783;860
"524";0;646;1238;1500;1500;1500;1500;1500;1500
"526";160;138;96;127;129;134;149;598;882
"527";245;311;313;316;303;362;403;451;458
"528";1500;1500;1500;1500;1500;1500;1500;1500;1500
"529";1500;1500;1500;1500;1500;1500;1500;1500;1500
"530";479;585;571;671;859;903;973;1111;1225
"534";1500;1500;1500;1499;1441;1230;1441;1483;1451
"540";226;104;101;95;98;146;159;73;89
"541";100;90;123;134;57;86;142;164;153
